x	Y_20181208_15100_1_5g	Y_20181208_15100_13_1g	Y_20181208_15100_15_2g	Y_20181208_15100_18_6g	Y_20181208_15100_19_6g	Y_20181208_15100_21_1g	Y_20181208_15100_5_10g	Y_20181208_15100_5_3g	Y_20181208_15100_5_5g	Y_20181208_15100_7_9g	Y_20181208_15100_8_5g	Y_20181208_15100b_1_3g	Y_20181208_15100b_11_1g	Y_20181208_15100b_13_11g	Y_20181208_15100b_15_10g	Y_20181208_15100b_15_3g	Y_20181208_15100b_15_8g	Y_20181208_15100b_15_9g	Y_20181208_15100b_18_7g	Y_20181208_15100b_22_20g	Y_20181208_15100b_23_6g	Y_20181208_15100b_24_3g	Y_20181208_15100b_30_5g	Y_20181208_15100b_32_7g
1.3342	32101.4316	28089.5	32352.3633	33036.7344	29813.8359	30944.8379	29975.1738	28627.4512	31069.3945	29569.5742	30902.2832	31703.6289	29191.998	29795.5352	30526.6641	31377.916	28288.2949	30294.4355	25768.7266	33471.3047	34639.6523	30583.4668	36743.2031	31203.0762
1.4676	31415.6309	29019.8887	32569.3145	33943.5469	30145.9121	31303.457	30397.1328	28872.4395	31652.9238	29771.4844	36694.1875	31203.5527	28359.3359	29207.3203	33349.2812	31783.5332	28520.2656	30404.7637	27192.5352	34729.6875	35233.7891	31124.3828	43505.5625	30913.3906
1.6011	30592.0938	31364.0156	34114.6172	33613.5117	30472.709	32991.4102	32815.4062	30840.2715	32139.998	31305.9785	52043.2773	33007.4297	28705.6895	28826.9062	33547.7031	34455.3867	29221.0684	31352.375	27053.9941	37107.8047	41655.8867	35162.3984	57935.0391	32516.2129
1.7345	31191.0625	33867.25	38983.9414	33845.9492	33335.7461	34574.75	31378.3809	33511.3086	33506.0977	31391.8281	82695.2109	36992.418	32552.8633	30178.7188	36862.6836	39688.5234	35101.7773	32792.9219	26432.1621	41521.8125	59923.3906	36724.2461	87751.2188	31960.5293
1.8679	32524.9609	43437.1641	47068.8008	36981.8164	35705.0547	41644.9375	30622.7207	44107.8984	33407.5039	33788.4844	100731.6406	46295.918	37641.4258	32859.7383	47772.0508	51778.1641	48129.6953	33645.0664	28114.0137	49932.9453	92607.2656	45455.4648	101688.6875	34526.5156
2.0013	32676.1816	61435.1523	72422.4297	46759.6016	38758.7188	53240.2969	33808.2188	61102.3633	38215.6641	37836.0586	76379.7734	62142.3008	51936.0117	37793.3594	67501.4141	80502.1797	73482.0859	37638.7617	30054.0352	71115.0625	105155.7344	63242.4453	79181.7109	39409.8906
2.1347	32704.7188	83450.4844	109753.0078	68455.8047	49671.2891	72562.5938	36791.6484	63158.3203	50975.0586	54056.3867	48642.0938	72326.4141	79289.8203	49306.8281	81348.2344	113348.4219	98770.1953	48017.3477	36382.5	81634.6562	72891.7188	99361.7188	51227.3516	50493.7305
2.2682	35350.6953	73299.7891	118335.5156	93501.8906	73492.9219	77430.5391	43989.8984	48746.3633	80697	83823.1875	34849.332	58640.2148	86744.7031	71695.7266	68973.6562	116511.9766	96802.0703	62895.8789	53250.4766	65307.1523	45797.1328	115177.9062	38361.2305	64101.6562
2.4016	42769.9375	50003.0117	83887.3359	86273.5312	97087.1094	64434.5117	66586	36272.3164	111218.0469	89255.6719	31599.4062	42097.2031	58454.9844	120831.3047	48941.8125	83871.6406	61409.2461	62478.5352	68808.9375	47026.2344	36164.2266	88895.5312	34694.2852	56351.332
2.535	57678.2617	37333.0625	54992.3945	57217.8633	83593.8203	51763.7773	94770.5469	31753.3828	91504.3125	63919.0469	30831.3086	36850.0781	39218.5469	136015.1875	38372.3906	52893.4805	41508.1055	46710.1914	67273.7656	38071.1406	32796.3398	61007.4922	32647.3223	44828.5156
2.6684	80042.5312	33239.625	42120.6602	44086.0312	56501.4492	48776.6211	91169	31143.3945	57741.5977	42420.9258	30335.4785	35361.8945	31016.3809	94534.5	33939.5781	41227.5625	33460.7539	38317.9844	48872.2227	36398.3711	32569.7539	45214.0508	32268.7754	38529.5938
2.8019	79215.6328	31108.6973	39792.9883	38815.9258	40733.5156	NaN	61357.9297	30235.9629	43650.2812	34498.1875	NaN	34075.9609	27442.1621	53556.7461	32971.4062	36178.9648	30196.6992	33867.5195	34584.8906	34449.5039	31249.0859	39500.3945	NaN	39033.4102
2.9353	57768.832	NaN	38218.4727	35768.8789	37768.2109	NaN	42200.7578	NaN	40152.1289	34199.7773	NaN	31994.0645	NaN	41710.0586	31315.8574	31665.3828	28131.5625	NaN	29928.7266	33849.7031	NaN	35743.9648	NaN	36133.457
3.0687	42601.9219	NaN	38812.5586	34626.8047	35647.4375	NaN	37704.6328	NaN	36060.8516	NaN	NaN	NaN	NaN	34881.4219	31041.6211	33195.3359	NaN	NaN	27946.0527	35433.5586	NaN	35355.0703	NaN	35154.6211
3.2021	36149.7812	NaN	NaN	NaN	NaN	NaN	33021.625	NaN	NaN	NaN	NaN	NaN	NaN	37118.1328	NaN	31912.3418	NaN	NaN	27095.1719	36849.0273	NaN	34395.6172	NaN	NaN
3.3355	34590.0859	NaN	NaN	NaN	NaN	NaN	30924.5762	NaN	NaN	NaN	NaN	NaN	NaN	36738.0625	NaN	NaN	NaN	NaN	28096.334	NaN	NaN	33783.5156	NaN	NaN
3.469	35046.2852	NaN	NaN	NaN	NaN	NaN	31439.2461	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	32900.2383	NaN	NaN	NaN	NaN	NaN	32788.0859	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	32195.9082	NaN	NaN	NaN	NaN	NaN	32501.1367	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
