x	Y_20181208_15100_1_3g	Y_20181208_15100_1_5g	Y_20181208_15100_10_2g	Y_20181208_15100_13_1g	Y_20181208_15100_13_6g	Y_20181208_15100_14_2g	Y_20181208_15100_15_2g	Y_20181208_15100_15_4g	Y_20181208_15100_15_7g	Y_20181208_15100_16_3g	Y_20181208_15100_17_1g	Y_20181208_15100_17_7g	Y_20181208_15100_18_1g	Y_20181208_15100_18_5g	Y_20181208_15100_18_6g	Y_20181208_15100_19_1g	Y_20181208_15100_19_2g	Y_20181208_15100_19_6g	Y_20181208_15100_2_3g	Y_20181208_15100_21_1g	Y_20181208_15100_25_1g	Y_20181208_15100_3_4g	Y_20181208_15100_5_10g	Y_20181208_15100_5_3g	Y_20181208_15100_5_5g	Y_20181208_15100_6_7g	Y_20181208_15100_7_9g	Y_20181208_15100_8_5g	Y_20181208_15100_8_6g	Y_20181208_15100_9_1g
1.6011	58772.8828	30592.0938	61394.1875	31364.0156	54442.9297	49744.4102	34114.6172	62168.4062	36657.3906	62967.5664	52769.7461	36699.2617	42023.8906	37946.1328	33613.5117	29218.9004	37085.2812	30472.709	57687.3164	32991.4102	44351.9805	35437.8789	32815.4062	30840.2715	32139.998	27628.9414	31305.9785	52043.2773	32058.3633	31550.332
1.7345	84782.9688	31191.0625	98293.8594	33867.25	83767.9141	72755.7266	38983.9414	91377.1953	47106.7305	98073.2109	79387.3594	51244.0703	52390.0273	45863.1484	33845.9492	30780.9141	49426.0195	33335.7461	77460.0078	34574.75	66656.4844	39321.3164	31378.3809	33511.3086	33506.0977	30621.2461	31391.8281	82695.2109	37177.8125	33365.2617
1.8679	92890.8359	32524.9609	124755.3594	43437.1641	105615.3203	122234.3828	47068.8008	101541.4688	75878.2266	124515.8203	88260.9141	75772.1172	77073.8672	65855.4062	36981.8164	36390.4805	78129.8125	35705.0547	77701.125	41644.9375	94963.9766	49095.3242	30622.7207	44107.8984	33407.5039	36121.2812	33788.4844	100731.6406	50420.9844	40456.3359
2.0013	68541.0469	32676.1816	95785.9688	61435.1523	86327.0625	156942.0781	72422.4297	75818.9453	112067.1094	96658.3828	67068.375	93058.3125	90659.3203	99857.9531	46759.6016	51335.9805	101982.0781	38758.7188	57926.7031	53240.2969	92073.7578	68152.7266	33808.2188	61102.3633	38215.6641	48142.1641	37836.0586	76379.7734	77304.4844	60297.5547
2.1347	44483.9336	32704.7188	57524.6172	83450.4844	54947.0273	123685.2344	109753.0078	49466.6641	109376.5469	61518.9688	44461.6719	78476.8906	77994.2266	107606.9375	68455.8047	72370.3516	81610.2344	49671.2891	43751.0781	72562.5938	63117.3281	77304.4453	36791.6484	63158.3203	50975.0586	63592.9375	54056.3867	48642.0938	93239.4922	92178.8359
2.2682	37078.9961	35350.6953	41593.5273	73299.7891	41366.4375	68991.5938	118335.5156	42373.0625	73593.7812	43913.0664	36655.2266	50452.6875	59531.6289	77112.6484	93501.8906	72183.7031	55585.7344	73492.9219	38160.5117	77430.5391	44229.5391	60656.0781	43989.8984	48746.3633	80697	56589.6875	83823.1875	34849.332	72658.1094	93970.4219
2.4016	32005.4746	42769.9375	34217.7266	50003.0117	34280.9961	45373.3477	83887.3359	41502.2266	51626.3984	38096.2578	32293.1445	36876.5898	45566.4688	54176.168	86273.5312	52767.5156	43134.875	97087.1094	37361.7188	64434.5117	35080.6602	45411.5938	66586	36272.3164	111218.0469	40471.125	89255.6719	31599.4062	51129.6289	68734.9297
2.535	31143.4258	57678.2617	32534.7832	37333.0625	32826.2148	38702.5273	54992.3945	45823.4102	42947.7461	35183.0273	31661.4707	32514.8008	41367.6758	48052.7148	57217.8633	38480.7773	36396.8516	83593.8203	36537.4844	51763.7773	33403.4883	36023.3359	94770.5469	31753.3828	91504.3125	29894.6367	63919.0469	30831.3086	41273.8008	45170.5742
2.6684	31720.5781	80042.5312	32318.8438	33239.625	32299.8457	36504.8516	42120.6602	NaN	40575.9727	38199.6523	NaN	31161.9902	41565.3203	45047.3086	44086.0312	34160.3828	34458.3477	56501.4492	NaN	48776.6211	34315.418	33475.0352	91169	31143.3945	57741.5977	30397.1992	42420.9258	30335.4785	37240.9023	36430.6445
2.8019	31452.1289	79215.6328	33040.1055	31108.6973	32003.8555	36398.1094	39792.9883	NaN	NaN	NaN	NaN	29519.8438	44766.0352	40189.6172	38815.9258	31255.4648	34018.2188	40733.5156	NaN	NaN	NaN	32781.7617	61357.9297	30235.9629	43650.2812	26771.0938	34498.1875	NaN	34834.2266	34869.4961
2.9353	NaN	57768.832	NaN	NaN	34074.2695	35600.3008	38218.4727	NaN	NaN	NaN	NaN	29607.8359	51883.1289	36197.5234	35768.8789	29976.4473	35278.7305	37768.2109	NaN	NaN	NaN	32482.1875	42200.7578	NaN	40152.1289	27721.9727	34199.7773	NaN	33311.0938	NaN
3.0687	NaN	42601.9219	NaN	NaN	NaN	NaN	38812.5586	NaN	NaN	NaN	NaN	28653.2168	NaN	33891.5156	34626.8047	NaN	NaN	35647.4375	NaN	NaN	NaN	NaN	37704.6328	NaN	36060.8516	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	36149.7812	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33021.625	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	34590.0859	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30924.5762	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	35046.2852	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31439.2461	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	32900.2383	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32788.0859	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	32195.9082	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32501.1367	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
